time_sec,distance_m,battery_pct,behaviour
622.0,222.242,17.1,AVOID
625.0,222.825,16.7,AVOID
627.0,223.340,16.4,AVOID
630.0,223.884,16.0,AVOID
632.0,224.307,15.7,AVOID
635.0,224.753,15.3,AVOID
638.0,225.146,14.9,AVOID
640.0,225.545,14.7,AVOID
642.0,226.242,14.4,AVOID
645.0,226.869,14.0,AVOID
648.0,227.542,13.6,AVOID
650.0,228.052,13.3,AVOID
653.0,228.683,12.9,AVOID
655.0,229.237,12.7,AVOID
658.0,229.810,12.3,AVOID
661.0,230.488,11.9,AVOID
664.0,231.111,11.5,TRACK
666.0,231.837,11.2,TRACK
